id,locality,type_of_property,subtype_of_property,price,type_of_sale,nr_of_rooms,area,equiped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,total_land_area,nr_of_facades,swimming_pool,building_condition
9024167,2018,APARTMENT,APARTMENT,180000,FOR_SALE,1,80,INSTALLED,,False,True,2,,,,2,,GOOD
8706186,4540,APARTMENT,APARTMENT,181500,FOR_SALE,2,85,INSTALLED,,False,True,7,,,,,,
8667106,4500,APARTMENT,APARTMENT,185000,FOR_SALE,2,105,INSTALLED,,False,True,3,,,,,,
8676363,7090,APARTMENT,APARTMENT,186000,FOR_SALE,2,94,HYPER_EQUIPPED,False,False,True,6,,,,3,,AS_NEW
8720525,1853,APARTMENT,GROUND_FLOOR,189000,FOR_SALE,1,76,INSTALLED,False,False,True,15,,,,2,,
8996234,7090,APARTMENT,APARTMENT,189000,FOR_SALE,2,95,HYPER_EQUIPPED,False,False,True,11,,,,4,,AS_NEW
8706190,4540,APARTMENT,APARTMENT,193500,FOR_SALE,2,104,INSTALLED,,False,True,6,,,,,,
9013947,1190,APARTMENT,GROUND_FLOOR,195000,FOR_SALE,2,97,USA_INSTALLED,,False,True,30,True,,,2,,TO_RENOVATE
8503231,8300,APARTMENT,APARTMENT,195000,FOR_SALE,1,26,INSTALLED,False,False,,,,,,2,False,JUST_RENOVATED
8624516,1785,APARTMENT,GROUND_FLOOR,198000,FOR_SALE,2,80,INSTALLED,,False,,,,,,2,,GOOD
8969120,8400,APARTMENT,APARTMENT,199000,FOR_SALE,2,76,HYPER_EQUIPPED,False,False,True,4,,,,,False,AS_NEW
8708701,8301,APARTMENT,APARTMENT,215000,FOR_SALE,2,56,,False,False,,,True,,,,False,GOOD
8632033,2660,APARTMENT,GROUND_FLOOR,215775,FOR_SALE,2,83,INSTALLED,False,False,,,True,31,,2,False,AS_NEW
9009603,4680,APARTMENT,APARTMENT,218000,FOR_SALE,2,92,INSTALLED,False,False,True,7,,,,2,,
8783829,8870,APARTMENT,PENTHOUSE,225000,FOR_SALE,2,90,INSTALLED,,False,True,20,,,,2,,
8942977,2650,APARTMENT,APARTMENT,226500,FOR_SALE,2,90,INSTALLED,False,False,True,5,,,,1,,AS_NEW
8852176,7090,APARTMENT,APARTMENT,227000,FOR_SALE,2,102,HYPER_EQUIPPED,,False,True,43,,,,4,,AS_NEW
8976298,1080,APARTMENT,APARTMENT,235000,FOR_SALE,2,120,HYPER_EQUIPPED,False,False,True,10,,,,2,,GOOD
9024921,8370,APARTMENT,DUPLEX,235000,FOR_SALE,4,163,INSTALLED,False,False,True,50,,,,,False,GOOD
8998930,7090,APARTMENT,APARTMENT,238000,FOR_SALE,3,135,HYPER_EQUIPPED,,False,True,12,,,,1,,AS_NEW
9023329,1090,APARTMENT,APARTMENT,245000,FOR_SALE,2,95,INSTALLED,False,False,True,,,,,,,JUST_RENOVATED
8945559,8430,APARTMENT,APARTMENT,245000,FOR_SALE,2,83,INSTALLED,,False,,,,,,2,,GOOD
8849642,8660,APARTMENT,APARTMENT,249000,FOR_SALE,2,84,INSTALLED,True,False,True,,True,,,2,False,GOOD
8927653,4000,APARTMENT,LOFT,250000,FOR_SALE,1,80,INSTALLED,False,False,True,2,,,,2,False,JUST_RENOVATED
8963327,5100,APARTMENT,DUPLEX,264000,FOR_SALE,2,86,HYPER_EQUIPPED,,False,,,,,,3,,AS_NEW
8980227,1755,APARTMENT,APARTMENT,264900,FOR_SALE,2,130,INSTALLED,,False,True,6,,,,,,
8983055,9950,APARTMENT,APARTMENT,265000,FOR_SALE,2,100,HYPER_EQUIPPED,False,False,True,36,,,,,False,AS_NEW
8918530,4600,APARTMENT,APARTMENT,270000,FOR_SALE,2,142,INSTALLED,False,False,,,,,,4,,
8942080,2540,APARTMENT,APARTMENT,279000,FOR_SALE,2,118,INSTALLED,False,False,True,,,,,,False,GOOD
8980226,1755,APARTMENT,APARTMENT,279900,FOR_SALE,3,126,INSTALLED,,False,True,13,,,,,,
